volcano_number;volcano_name;primary_volcano_type;country;region;subregion;elevation;tectonic_settings;evidence_category;major_rock;population_nearby
358080;Pali-Aike Volcanic Field;Pyroclastic cone(s);Chile-Argentina;South America;Southern Chile and Argentina;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;few
358062;Aguilera;Stratovolcano;Chile;South America;Southern Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite;none
358063;Reclus;Pyroclastic cone;Chile;South America;Southern Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;none
252100;Hargy;Stratovolcano;Papua New Guinea;Melanesia and Australia;New Britain;medium;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite;few
252040;Dakataua;Caldera;Papua New Guinea;Melanesia and Australia;New Britain;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;quite alot
252070;Krummel-Garbuna-Welcker;Stratovolcano(es);Papua New Guinea;Melanesia and Australia;New Britain;low;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
252080;Witori;Caldera;Papua New Guinea;Melanesia and Australia;New Britain;low;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;alot
252010;Langila;Complex;Papua New Guinea;Melanesia and Australia;New Britain;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;few
251050;Long Island;Complex;Papua New Guinea;Melanesia and Australia;Northeast of New Guinea;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
234070;Marion Island;Shield(s);South Africa;Middle East and Indian Ocean;Indian Ocean (southern);medium;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
358057;Hudson, Cerro;Stratovolcano;Chile;South America;Southern Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;none
358040;Michinmahuida;Stratovolcano;Chile;South America;Southern Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;none
358030;Huequi;Lava dome(s);Chile;South America;Southern Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;none
358024;Apagado;Pyroclastic cone;Chile;South America;Southern Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;few
358012;Cayutue-La Vigueria;Pyroclastic cone(s);Chile;South America;Southern Chile and Argentina;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;quite alot
358010;Osorno;Stratovolcano;Chile;South America;Southern Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;few
358020;Calbuco;Stratovolcano;Chile;South America;Southern Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357153;Antillanca Volcanic Complex;Stratovolcano(es);Chile;South America;Central Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;few
357160;Puntiagudo-Cordon Cenizos;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357140;Carran-Los Venados;Pyroclastic cone(s);Chile;South America;Central Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;quite alot
357150;Puyehue-Cordon Caulle;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
222161;Igwisi Hills;Pyroclastic cone(s);Tanzania;Africa and Red Sea;Africa (eastern);medium;Rift zone / Continental crust (>25 km);Eruption Dated;Foidite;alot
254020;Ambitle;Stratovolcano;Papua New Guinea;Melanesia and Australia;New Ireland;low;Subduction zone / Crustal thickness unknown;Eruption Dated;Phono-tephrite /  Tephri-phonolite;quite alot
252140;Rabaul;Pyroclastic shield;Papua New Guinea;Melanesia and Australia;New Britain;low;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;quite alot
252130;Lolobau;Caldera;Papua New Guinea;Melanesia and Australia;New Britain;low;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;quite alot
251030;Karkar;Stratovolcano;Papua New Guinea;Melanesia and Australia;Northeast of New Guinea;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
251020;Manam;Stratovolcano;Papua New Guinea;Melanesia and Australia;Northeast of New Guinea;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;quite alot
